Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,8.1467e+01,2.8854e-03,7.6836e-09
1.0000e+02,1.0000e+03,1.8060e+02,6.4153e-03,7.7208e-09
1.0000e+02,1.0000e+04,3.6987e+02,1.1772e-02,7.3404e-09
1.0000e+02,1.0000e+05,7.2043e+02,2.1230e-02,7.9018e-09
1.0000e+03,1.0000e+02,1.1177e+02,4.8449e-03,8.9437e-09
1.0000e+03,1.0000e+03,3.4537e+02,1.3728e-02,9.2979e-09
1.0000e+03,1.0000e+04,1.0500e+03,3.8606e-02,9.4313e-09
1.0000e+03,1.0000e+05,3.1508e+03,1.1026e-01,9.4423e-09
1.0000e+04,1.0000e+02,1.1900e+02,1.4928e+00,8.9138e-09
1.0000e+04,1.0000e+03,3.8107e+02,4.7447e+00,9.7060e-09
1.0000e+04,1.0000e+04,1.2203e+03,1.5223e+01,9.7954e-09
1.0000e+04,1.0000e+05,3.9018e+03,4.9379e+01,9.8020e-09
