Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,8.7967e+01,1.2960e-02,8.7514e-09
1.0000e+02,1.0000e+03,2.2953e+02,1.9090e-02,9.0455e-09
1.0000e+02,1.0000e+04,5.6613e+02,4.6296e-02,9.4988e-09
1.0000e+02,1.0000e+05,1.3433e+03,1.0913e-01,9.7127e-09
1.0000e+03,1.0000e+02,1.0843e+02,1.2548e-02,9.0699e-09
1.0000e+03,1.0000e+03,3.3703e+02,3.8126e-02,9.6919e-09
1.0000e+03,1.0000e+04,1.0368e+03,1.1583e-01,9.8866e-09
1.0000e+03,1.0000e+05,3.1701e+03,3.5119e-01,9.9702e-09
1.0000e+04,1.0000e+02,1.1500e+02,1.4285e+00,9.3365e-09
1.0000e+04,1.0000e+03,3.6370e+02,4.5354e+00,9.6442e-09
1.0000e+04,1.0000e+04,1.1429e+03,1.4517e+01,9.8979e-09
1.0000e+04,1.0000e+05,3.5891e+03,4.6959e+01,9.9721e-09
