Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,8.7733e+01,7.4021e-03,8.2436e-09
1.0000e+02,1.0000e+03,2.2740e+02,1.8714e-02,9.2631e-09
1.0000e+02,1.0000e+04,5.5783e+02,4.6046e-02,9.5327e-09
1.0000e+02,1.0000e+05,1.3175e+03,1.0884e-01,9.6215e-09
1.0000e+03,1.0000e+02,1.0837e+02,1.1851e-02,9.1487e-09
1.0000e+03,1.0000e+03,3.3680e+02,3.6325e-02,9.6448e-09
1.0000e+03,1.0000e+04,1.0356e+03,1.1291e-01,9.8759e-09
1.0000e+03,1.0000e+05,3.1654e+03,3.3606e-01,9.9658e-09
1.0000e+04,1.0000e+02,1.1500e+02,1.4690e+00,9.3365e-09
1.0000e+04,1.0000e+03,3.6360e+02,4.5316e+00,9.6917e-09
1.0000e+04,1.0000e+04,1.1428e+03,1.4233e+01,9.9073e-09
1.0000e+04,1.0000e+05,3.5884e+03,4.6107e+01,9.9692e-09
