Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,6.1600e+01,5.0248e-03,7.1880e-09
1.0000e+02,1.0000e+03,8.5633e+01,6.8754e-03,7.9258e-09
1.0000e+02,1.0000e+04,1.0147e+02,9.6744e-03,7.4168e-09
1.0000e+02,1.0000e+05,1.1450e+02,9.8782e-03,7.3232e-09
1.0000e+03,1.0000e+02,1.1190e+02,1.2770e-02,9.0768e-09
1.0000e+03,1.0000e+03,2.0650e+02,2.2198e-02,9.0333e-09
1.0000e+03,1.0000e+04,2.7303e+02,2.9304e-02,9.4633e-09
1.0000e+03,1.0000e+05,3.4407e+02,3.7700e-02,9.1786e-09
1.0000e+04,1.0000e+02,1.2363e+02,1.2484e-01,9.1395e-09
1.0000e+04,1.0000e+03,3.6033e+02,2.9642e-01,9.6773e-09
1.0000e+04,1.0000e+04,6.7307e+02,5.3029e-01,9.7203e-09
1.0000e+04,1.0000e+05,8.7787e+02,6.6430e-01,9.8388e-09
