Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,6.1567e+01,9.1212e-03,7.0737e-09
1.0000e+02,1.0000e+03,8.4733e+01,6.9339e-03,7.9448e-09
1.0000e+02,1.0000e+04,1.0277e+02,8.5555e-03,7.2002e-09
1.0000e+02,1.0000e+05,1.1383e+02,9.5396e-03,7.5788e-09
1.0000e+03,1.0000e+02,1.1190e+02,1.2417e-02,9.0770e-09
1.0000e+03,1.0000e+03,2.0683e+02,2.2638e-02,9.0127e-09
1.0000e+03,1.0000e+04,2.7630e+02,3.0458e-02,9.5137e-09
1.0000e+03,1.0000e+05,3.4380e+02,3.7884e-02,9.2265e-09
1.0000e+04,1.0000e+02,1.2363e+02,1.2589e-01,9.1395e-09
1.0000e+04,1.0000e+03,3.6033e+02,2.9527e-01,9.6773e-09
1.0000e+04,1.0000e+04,6.7240e+02,5.1744e-01,9.7172e-09
1.0000e+04,1.0000e+05,8.7687e+02,6.6029e-01,9.8263e-09
