Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,6.2367e+01,2.2843e-03,6.7112e-09
1.0000e+02,1.0000e+03,7.2733e+01,2.4724e-03,6.3329e-09
1.0000e+02,1.0000e+04,7.8233e+01,2.6753e-03,5.9332e-09
1.0000e+02,1.0000e+05,8.2567e+01,2.2987e-03,5.4875e-09
1.0000e+03,1.0000e+02,1.1517e+02,5.1761e-03,8.7033e-09
1.0000e+03,1.0000e+03,2.1017e+02,8.2157e-03,8.9262e-09
1.0000e+03,1.0000e+04,2.4623e+02,9.6419e-03,8.6982e-09
1.0000e+03,1.0000e+05,2.6770e+02,1.0420e-02,8.5599e-09
1.0000e+04,1.0000e+02,1.2740e+02,1.0747e-01,9.1115e-09
1.0000e+04,1.0000e+03,3.7463e+02,2.4327e-01,9.6128e-09
1.0000e+04,1.0000e+04,6.8963e+02,4.0497e-01,9.6021e-09
1.0000e+04,1.0000e+05,8.1350e+02,4.6705e-01,9.9845e-09
