Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,6.4267e+01,2.2610e-03,6.0856e-09
1.0000e+02,1.0000e+03,8.4100e+01,2.8647e-03,5.7941e-09
1.0000e+02,1.0000e+04,9.0867e+01,2.2524e-03,4.4294e-09
1.0000e+02,1.0000e+05,9.5533e+01,2.1280e-03,4.2295e-09
1.0000e+03,1.0000e+02,8.7533e+01,3.7419e-03,7.3863e-09
1.0000e+03,1.0000e+03,2.1993e+02,8.4113e-03,8.5461e-09
1.0000e+03,1.0000e+04,3.0410e+02,1.1325e-02,8.4696e-09
1.0000e+03,1.0000e+05,3.3753e+02,1.2392e-02,8.1334e-09
1.0000e+04,1.0000e+02,9.3067e+01,1.1544e+00,7.7709e-09
1.0000e+04,1.0000e+03,2.8273e+02,3.4654e+00,9.3105e-09
1.0000e+04,1.0000e+04,6.9607e+02,8.4813e+00,9.5460e-09
1.0000e+04,1.0000e+05,9.4483e+02,1.1590e+01,9.4388e-09
