Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,6.2800e+01,4.9701e-03,7.2319e-09
1.0000e+02,1.0000e+03,8.4767e+01,6.7181e-03,6.2107e-09
1.0000e+02,1.0000e+04,1.0247e+02,8.6126e-03,7.5293e-09
1.0000e+02,1.0000e+05,1.1943e+02,9.8625e-03,7.9566e-09
1.0000e+03,1.0000e+02,8.4700e+01,9.1056e-03,8.5385e-09
1.0000e+03,1.0000e+03,2.1447e+02,2.3405e-02,9.3583e-09
1.0000e+03,1.0000e+04,3.0050e+02,3.1651e-02,9.3442e-09
1.0000e+03,1.0000e+05,3.5340e+02,3.7563e-02,9.3566e-09
1.0000e+04,1.0000e+02,9.0500e+01,1.1405e+00,8.3994e-09
1.0000e+04,1.0000e+03,2.7060e+02,3.4061e+00,9.6636e-09
1.0000e+04,1.0000e+04,6.6687e+02,8.3038e+00,9.8022e-09
1.0000e+04,1.0000e+05,9.2413e+02,1.1631e+01,9.7274e-09
