Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,6.2767e+01,1.0722e-02,7.3252e-09
1.0000e+02,1.0000e+03,8.8833e+01,7.3383e-03,7.3817e-09
1.0000e+02,1.0000e+04,1.1570e+02,9.8245e-03,7.9487e-09
1.0000e+02,1.0000e+05,1.3143e+02,1.0587e-02,7.9846e-09
1.0000e+03,1.0000e+02,8.4700e+01,9.3968e-03,8.5385e-09
1.0000e+03,1.0000e+03,2.1450e+02,2.3554e-02,9.3286e-09
1.0000e+03,1.0000e+04,3.1920e+02,3.4328e-02,9.3134e-09
1.0000e+03,1.0000e+05,4.1627e+02,4.6974e-02,9.2250e-09
1.0000e+04,1.0000e+02,9.0500e+01,1.1541e+00,8.3994e-09
1.0000e+04,1.0000e+03,2.7060e+02,3.3856e+00,9.6636e-09
1.0000e+04,1.0000e+04,6.6697e+02,8.4196e+00,9.8017e-09
1.0000e+04,1.0000e+05,1.0069e+03,1.2482e+01,9.8423e-09
